x_m,y_m,z_m,T_ice,T_ftst_interp,abs_err,pct_err
0.0,0.0,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0001,0.005001,25.0069,25.0069,0.0,0.0
0.0,0.0001,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0002,0.005001,25.0138,25.0138,0.0,0.0
0.0,0.0002,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0003,0.005001,25.0207,25.0207,0.0,0.0
0.0,0.0003,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0004,0.005001,25.0275,25.027499999999996,3.552713678800501e-15,1.4195239951255058e-14
0.0,0.0004,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0005,0.005001,25.0343,25.0343,0.0,0.0
0.0,0.0005,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0006,0.005001,25.0411,25.0411,0.0,0.0
0.0,0.0006,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0007,0.005001,25.0477,25.0477,0.0,0.0
0.0,0.0007,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0008,0.005001,25.0543,25.0543,0.0,0.0
0.0,0.0008,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0009,0.005001,25.0608,25.0608,0.0,0.0
0.0,0.0009,0.005001,25.0,25.0,0.0,0.0
0.0001,0.001,0.005001,25.0673,25.0673,0.0,0.0
0.0,0.001,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0011,0.005001,25.0736,25.0736,0.0,0.0
0.0,0.0011,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0012,0.005001,25.0798,25.0798,0.0,0.0
0.0,0.0012,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0013,0.005001,25.0859,25.0859,0.0,0.0
0.0,0.0013,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0014,0.005001,25.0919,25.0919,0.0,0.0
0.0,0.0014,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0015,0.005001,25.0977,25.0977,0.0,0.0
0.0,0.0015,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0016,0.005001,25.1034,25.1034,0.0,0.0
0.0,0.0016,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0017,0.005001,25.1089,25.1089,0.0,0.0
0.0,0.0017,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0018,0.005001,25.1144,25.114399999999996,3.552713678800501e-15,1.4146122060651895e-14
0.0,0.0018,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0019,0.005001,25.1196,25.1196,0.0,0.0
0.0,0.0019,0.005001,25.0,25.0,0.0,0.0
0.0001,0.002,0.005001,25.1247,25.1247,0.0,0.0
0.0,0.002,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0021,0.005001,25.1296,25.1296,0.0,0.0
0.0,0.0021,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0022,0.005001,25.1344,25.134399999999996,3.552713678800501e-15,1.4134865677320165e-14
0.0,0.0022,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0023,0.005001,25.139,25.139,0.0,0.0
0.0,0.0023,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0024,0.005001,25.1435,25.1435,0.0,0.0
0.0,0.0024,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0025,0.005001,25.1477,25.147699999999997,3.552713678800501e-15,1.4127390094522996e-14
0.0,0.0025,0.005001,25.0,25.0,0.0,0.0
